Consignee,ContainerType,ShipmentType,OriginService,DestinationService,ETD,Measurement,OriginCountry,DestinationCountry
NIK   ,TRAI,IEL,CFS,CY ,2014-02-11,1.4100000000,CN,GH
NIK   ,TRAI,IEL,CFS,CY ,2014-02-11,7.1500000000,CN,GH
NIK   ,DRY ,IEL,CFS,CY ,2014-02-12,24.2420000000,ID,YO
NIK   ,TRAI,IEL,CFS,CY ,2014-02-11,1.2200000000,CN,GH
NIK   ,TRAI,IEL,CFS,CY ,2014-02-11,3.3500000000,CN,GH
NIK   ,TRAI,IEL,CFS,CY ,2014-02-11,3.5590000000,CN,GH
NIK   ,HIGH,IEL,CY ,CY ,2014-02-14,65.6800000000,CN,OK
NIK   ,HIGH,IEL,CY ,CY ,2014-02-14,65.5200000000,CN,OK
NIK   ,HIGH,IEL,CFS,CY ,2014-02-16,64.9860000000,CN,AA
NIK   ,AIR ,AIR,CFS,CY ,2014-02-11,7.3690000000,LK,AA
NIK   ,HIGH,IEL,CY ,CY ,2014-02-13,79.0800000000,VN,AA
NIK   ,HIGH,IEL,CFS,CY ,2014-02-13,69.0100000000,ID,BK
NIK   ,AIR ,AIR,CFS,CY ,2014-02-11,2.0100000000,CN,DW
NIK   ,AIR ,AIR,CFS,CFS,2014-02-08,0.4200000000,IL,YO
NIK   ,HIGH,OCE,CFS,CFS,2014-02-08,1.2200000000,TR,KK
NIK   ,TRAI,IEL,CFS,CY ,2014-02-12,1.7700000000,CN,GH
NIK   ,DRY ,IEL,CFS,CY ,2014-02-13,56.6800000000,CN,XB
NIK   ,TRAI,IEL,CFS,CY ,2014-02-12,3.0000000000,CN,GH
NIK   ,TRAI,IEL,CFS,CY ,2014-02-12,0.3400000000,CN,GH
NIK   ,TRAI,IEL,CFS,CY ,2014-02-12,19.1560000000,CN,GH
NIK   ,TRAI,IEL,CFS,CY ,2014-02-12,6.3900000000,CN,GH
NIK   ,DRY ,OCE,CFS,CY ,2014-02-08,15.1600000000,TR,Z6
NIK   ,TRAI,IEL,CFS,CY ,2014-02-12,9.8200000000,CN,GH
NIK   ,TRAI,IEL,CFS,CY ,2014-02-12,0.7600000000,CN,WA
NIK   ,AIR ,AIR,CFS,CY ,2014-02-12,6.6980000000,CN,AA
NIK   ,HIGH,IEL,CY ,CY ,2014-02-16,68.6400000000,TH,H2
NIK   ,DRY ,IEL,CY ,CY ,2014-02-16,58.7000000000,TH,H2
NIK   ,HIGH,IEL,CY ,CY ,2014-02-20,65.6310000000,ID,KG
NIK   ,DRY ,IEL,CFS,CY ,2014-02-15,38.9700000000,CN,EE
NIK   ,HIGH,IEL,CFS,CY ,2014-02-13,68.7960000000,ID,BK
NIK   ,TRAI,IEL,CFS,CY ,2014-02-18,3.2000000000,CN,GH
NIK   ,TRAI,IEL,CFS,CY ,2014-02-13,3.1400000000,CN,GH
NIK   ,TRAI,IEL,CFS,CY ,2014-02-13,3.3790000000,CN,GH
NIK   ,TRAI,IEL,CFS,CY ,2014-02-13,5.5590000000,CN,GH
NIK   ,HIGH,IEL,CFS,CY ,2014-02-15,80.7200000000,VN,AA
NIK   ,HIGH,IEL,CFS,CY ,2014-02-15,80.3600000000,VN,AA
NIK   ,HIGH,IEL,CFS,CY ,2014-02-15,79.9400000000,VN,AA
NIK   ,HIGH,IEL,CFS,CY ,2014-02-15,80.0300000000,VN,AA
NIK   ,HIGH,IEL,CFS,CY ,2014-02-15,80.5700000000,VN,AA
NIK   ,TRAI,IEL,CFS,CY ,2014-02-13,5.7190000000,CN,GH
NIK   ,TRAI,IEL,CFS,CY ,2014-02-13,2.6390000000,CN,GH
NIK   ,HIGH,IEL,CFS,CY ,2014-02-15,80.2600000000,VN,AA
NIK   ,HIGH,IEL,CFS,CY ,2014-02-15,80.5900000000,VN,AA
NIK   ,HIGH,IEL,CFS,CY ,2014-02-15,79.9200000000,VN,AA
NIK   ,HIGH,IEL,CFS,CY ,2014-02-15,79.7300000000,VN,AA
NIK   ,HIGH,IEL,CFS,CY ,2014-02-15,80.7300000000,VN,AA
NIK   ,HIGH,IEL,CFS,CY ,2014-02-15,78.3600000000,VN,AA
NIK   ,TRAI,IEL,CFS,CY ,2014-02-13,13.8810000000,CN,GH
NIK   ,TRAI,IEL,CFS,CY ,2014-02-13,2.6410000000,CN,GH
NIK   ,HIGH,IEL,CFS,CY ,2014-02-15,79.3800000000,VN,AA
NIK   ,HIGH,IEL,CFS,CY ,2014-02-15,74.1600000000,VN,AA
NIK   ,HIGH,IEL,CFS,CY ,2014-02-15,69.5600000000,VN,AA
NIK   ,HIGH,IEL,CFS,CY ,2014-02-15,68.2500000000,VN,AA
NIK   ,HIGH,IEL,CFS,CY ,2014-02-15,70.0900000000,VN,AA
NIK   ,HIGH,IEL,CFS,CY ,2014-02-15,69.9900000000,VN,AA
NIK   ,DRY ,OCE,CFS,CY ,2014-02-13,30.9400000000,MY,KT
NIK   ,DRY ,OCE,CFS,CY ,2014-02-13,30.9400000000,MY,KT
NIK   ,AIR ,AIR,CFS,CY ,2014-02-13,0.2200000000,CN,EL
NIK   ,AIR ,AIR,CFS,CY ,2014-02-13,0.4800000000,CN,E0
NIK   ,AIR ,AIR,CFS,CY ,2014-02-13,1.9400000000,CN,NC
NIK   ,AIR ,AIR,CY ,CY ,2014-02-11,1.9300000000,BG,AA
NIK   ,DRY ,IEL,CFS,CY ,2014-02-15,5.9200000000,TH,PK
NIK   ,HIGH,IEL,CY ,CY ,2014-02-12,65.5430000000,ID,YO
NIK   ,TRAI,IEL,CFS,CY ,2014-02-12,0.6700000000,CN,GH
NIK   ,TRAI,IEL,CFS,CY ,2014-02-12,5.4000000000,CN,GH
NIK   ,HIGH,IEL,CFS,CY ,2014-01-31,27.5700000000,BE,XB
NIK   ,HIGH,IEL,CY ,CY ,2014-02-19,68.2100000000,ID,DW
NIK   ,HIGH,IEL,CY ,CY ,2014-02-19,68.3600000000,ID,DW
NIK   ,HIGH,IEL,CY ,CY ,2014-02-19,68.1600000000,ID,DW
NIK   ,AIR ,AIR,CFS,CY ,2014-02-13,0.3420000000,IN,TJ
NIK   ,AIR ,AIR,CFS,CY ,2014-02-13,0.6960000000,IN,TJ
NIK   ,AIR ,AIR,CFS,CY ,2014-02-13,0.1740000000,IN,TJ
NIK   ,AIR ,AIR,CFS,CY ,2014-02-14,2.3200000000,CN,UR
NIK   ,TRAI,IEL,CFS,CY ,2014-02-13,2.2300000000,CN,GH
NIK   ,TRAI,IEL,CFS,CY ,2014-02-13,3.4010000000,CN,GH
NIK   ,TRAI,IEL,CFS,CY ,2014-02-12,2.2500000000,CN,GH
NIK   ,TRAI,IEL,CFS,CY ,2014-02-12,1.1100000000,CN,GH
NIK   ,TRAI,IEL,CFS,CY ,2014-02-12,0.2900000000,CN,GH
NIK   ,TRAI,IEL,CFS,CY ,2014-02-12,0.5300000000,CN,GH
NIK   ,TRAI,IEL,CFS,CY ,2014-02-12,6.7320000000,CN,GH
NIK   ,TRAI,IEL,CFS,CY ,2014-02-12,0.3100000000,CN,GH
NIK   ,TRAI,IEL,CFS,CY ,2014-02-12,2.4030000000,CN,GH
NIK   ,TRAI,IEL,CFS,CY ,2014-02-13,2.9700000000,CN,GH
