Consignee,ContainerType,ShipmentType,OriginService,DestinationService,ETD,Measurement,OriginCountry,DestinationCountry
Customer1   ,HIGH,IEL,CFS,CY ,26/02/2014,71.26,VN,CN
Customer1   ,HIGH,IEL,CFS,CY ,26/02/2014,70.88,VN,CN
Customer1   ,DRY ,IEL,CFS,CY ,26/02/2014,28.35,VN,CN
Customer1   ,DRY ,IEL,CFS,CY ,27/02/2014,58.07,VN,JP
Customer1   ,HIGH,IEL,CFS,CY ,27/02/2014,69.5,VN,JP
Customer1   ,TRAI,IEL,CFS,CY ,31/03/2014,0.521,CN,CN
Customer1   ,HIGH,IEL,CFS,CY ,27/02/2014,68.93,VN,JP
Customer1   ,HIGH,IEL,CFS,CY ,27/02/2014,69.94,VN,JP
Customer1   ,HIGH,IEL,CFS,CY ,27/02/2014,70.67,VN,JP
Customer1   ,HIGH,IEL,CFS,CY ,27/02/2014,70.47,VN,HK
Customer1   ,HIGH,IEL,CFS,CY ,27/02/2014,70.7,VN,HK
Customer1   ,HIGH,IEL,CFS,CY ,27/02/2014,70.66,VN,HK
Customer1   ,HIGH,IEL,CFS,CY ,27/02/2014,70.25,VN,HK
Customer1   ,HIGH,IEL,CY ,CY ,30/03/2014,69.18,ID,BE
Customer1   ,HIGH,IEL,CFS,CFS,26/02/2014,0,CN,MY
Customer1   ,AIR ,AIR,   ,   ,27/02/2014,0.041,SG,BE
Customer1   ,HIGH,IEL,CFS,CFS,26/02/2014,0,CN,MY
Customer1   ,AIR ,AIR,   ,   ,27/02/2014,10.523,SG,BE
Customer1   ,AIR ,AIR,   ,   ,27/02/2014,0.59,SG,BE
Customer1   ,HIGH,IEL,CY ,CY ,12/02/2014,79.3,ID,BE
Customer1   ,HIGH,IEL,CY ,CY ,10/02/2014,66.8,ID,JP
Customer1   ,DRY ,IEL,CY ,CY ,12/02/2014,55.95,ID,JP
Customer1   ,DRY ,IEL,CY ,CY ,11/02/2014,55.33,ID,TH
Customer1   ,HIGH,IEL,CFS,CY ,12/02/2014,62.31,CN,GB
Customer1   ,HIGH,IEL,CFS,CY ,12/02/2014,75.38,CN,GB
Customer1   ,DRY ,IEL,CY ,CY ,12/02/2014,57.21,ID,MY
Customer1   ,HIGH,IEL,CFS,CY ,12/02/2014,76.96,CN,GB
Customer1   ,DRY ,IEL,CFS,CY ,10/02/2014,12.91,CN,PH
Customer1   ,HIGH,IEL,CFS,CFS,07/03/2014,0,CN,MY
Customer1   ,HIGH,IEL,CFS,CFS,07/03/2014,0,CN,MY
Customer1   ,HIGH,IEL,CFS,CY ,10/02/2014,67.11,ID,IN
Customer1   ,HIGH,IEL,CFS,CY ,10/02/2014,66.92,ID,IN
Customer1   ,TRAI,IEL,CFS,CY ,06/03/2014,49.04,TR,BE
Customer1   ,DRY ,IEL,CFS,CY ,10/02/2014,56.75,ID,BE
Customer1   ,HIGH,IEL,CFS,CY ,10/02/2014,80.839,ID,BE
